doi,author,title,year,url,venue,json,view_num,tile,view_type,domain_viewType
10.1111/j.1467-8659.2011.01939.x,Tam G. K. L;Fang H;Aubrey A. J;Grant P. W;Rosin P. L;Marshall D;Chen M,Visualization of Time-Series Data in Parameter Space for Understanding Facial Dynamics,2011,https://doi.org/10.1111/j.1467-8659.2011.01939.x,EuroVis,10.1111@j.1467-8659.2011.01939.x.json,2,1,"['Line', 'Panel']",Line
10.1111/j.1467-8659.2011.01950.x,Graham Marti;Kennedy Jessi;Paterson Trevo;Law And,Visualising Errors in Animal Pedigree Genotype Data,2011,https://doi.org/10.1111/j.1467-8659.2011.01950.x,EuroVis,10.1111@j.1467-8659.2011.01950.x.json,2,2,"['Panel', 'Table']",Table
10.1111/j.1467-8659.2011.01954.x,Marino Josep;Kaufman Ari,Prostate Cancer Visualization from MR Imagery and MR Spectroscopy,2011,https://doi.org/10.1111/j.1467-8659.2011.01954.x,EuroVis,10.1111@j.1467-8659.2011.01954.x.json,2,1,['SciVis'],SciVis
10.1111/j.1467-8659.2012.03086.x,Rohrdantz Christia;Hund Michae;Mayer Thoma;W?lchli Bernhar;Keim Daniel A,The World's Languages Explorer: Visual Analysis of Language Features in Genealogical and Areal Contexts,2012,https://doi.org/10.1111/j.1467-8659.2012.03086.x,EuroVis,10.1111@j.1467-8659.2012.03086.x.json,2,1,"['Bar', 'Panel']",Bar
10.1111/cgf.12090,Boukhelifa N;Cancino W;Bezerianos A;Lutton E,Evolutionary Visual Exploration: Evaluation With Expert Users,2013,https://doi.org/10.1111/cgf.12090,EuroVis,2013_10.1111@cgf.12090.json,2,1,"['Line', 'Grid']",Line
10.1111/cgf.12639,Liu S;Wang B;Thiagarajan J. J;Bremer P.-T;Pascucci V,Visual Exploration of High-Dimensional Data through Subspace Analysis and Dynamic Projections,2015,https://doi.org/10.1111/cgf.12639,EuroVis,2015_10.1111@cgf.12639.json,2,1,"['Net.', 'Point']",Point
10.1111/cgf.12924,Stitz H;Luger S;Streit M;Gehlenborg N,AVOCADO: Visualization of Workflow¨CDerived Data Provenance for Reproducible Biomedical Research,2016,https://doi.org/10.1111/cgf.12924,EuroVis,2016_10.1111@cgf.12924.json,2,1,"['Diag.', 'Panel']",Diagram
10.1111/cgf.13424,"Cavallo Marc;Demiralp, ?a?atay",Track Xplorer: A System for Visual Analysis of Sensor-based Motor Activity Predictions,2018,https://doi.org/10.1111/cgf.13424,EuroVis,2018_10.1111@cgf.13424.json,2,2,"['Bar', 'Distri.']",Distribution
10.1111/cgf.13726,"Schlachter, M.;Raidou, R.G.;Muren, L.P.;Preim, B.;Putora, P.M.;B¨¹hler, K.",State-of-the-Art Report: Visual Computing in Radiation Therapy Planning,2019,https://doi.org/10.1111/cgf.13726,EuroVis,2019_10.1111@cgf.13726.json,2,1,"['Line', 'Panel']",Line
10.1109/TVCG.2011.195,Jian Zhao;Fanny Chevalier;Emmanuel Pietriga;Ravin Balakrishnan,Exploratory Analysis of Time-Series with ChronoLenses,2011,http://dx.doi.org/10.1109/TVCG.2011.195,InfoVis,10.1109@TVCG.2011.195.json,3,1,"['Line', 'Panel']",Line
10.1109/TVCG.2011.229,Enrico Bertini;Andrada Tatu;Daniel Keim,Quality Metrics in High-Dimensional Data Visualization: An Overview and Systematization,2011,http://dx.doi.org/10.1109/TVCG.2011.229,InfoVis,10.1109@TVCG.2011.229.json,2,1,"['Line', 'Panel']",Line
10.1109/TVCG.2012.225,Krist Wongsuphasawat;David Gotz,"Exploring Flow, Factors, and Outcomes of Temporal Event Sequences with the Outflow Visualization",2012,http://dx.doi.org/10.1109/TVCG.2012.225,InfoVis,10.1109@TVCG.2012.225.json,2,1,"['Net.', 'Panel']",Tree and Network (Graph)
10.1109/TVCG.2012.229,Nicholas Kong;Maneesh Agrawala,Graphical Overlays: Using Layered Elements to Aid Chart Reading,2012,http://dx.doi.org/10.1109/TVCG.2012.229,InfoVis,10.1109@TVCG.2012.229.json,2,1,"['Circle', 'Panel']",Circle
10.1109/TVCG.2012.236,Xiaoru Yuan;Limei Che;Yifan Hu;Xin Zhang,Intelligent Graph Layout Using Many Users' Input,2012,http://dx.doi.org/10.1109/TVCG.2012.236,InfoVis,10.1109@TVCG.2012.236.json,2,1,"['Net.', 'Panel']",Tree and Network (Graph)
10.1109/TVCG.2012.245,Kim Marriott;Helen Purchase;Michael Wybrow;Cagatay Goncu,Memorability of Visual Features in Network Diagrams,2012,http://dx.doi.org/10.1109/TVCG.2012.245,InfoVis,10.1109@TVCG.2012.245.json,2,2,"['Net.', 'Panel']",Tree and Network (Graph)
10.1109/TVCG.2012.291,Nan Cao;Yu-Ru Lin;Xiaohua Sun;David Lazer;Shixia Liu;Huamin Qu,Whisper: Tracing the Spatiotemporal Process of Information Diffusion in Real Time,2012,http://dx.doi.org/10.1109/TVCG.2012.291,InfoVis,10.1109@TVCG.2012.291.json,2,1,"['Map', 'Table']",Map
10.1109/TVCG.2013.179,Lauro Lins;James T. Klosowski;Carlos Scheidegger,Nanocubes for Real-Time Exploration of Spatiotemporal Datasets,2013,http://dx.doi.org/10.1109/TVCG.2013.179,InfoVis,10.1109@TVCG.2013.179.json,3,2,"['Line', 'Map']",Map
10.1109/TVCG.2015.2467717,J. Stahnke;M. D?rk;B. M¨¹ller;A. Thom,Probing Projections: Interaction Techniques for Interpreting Arrangements and Errors of Dimensionality Reductions,2015,http://dx.doi.org/10.1109/TVCG.2015.2467717,InfoVis,10.1109@TVCG.2015.2467717.json,2,1,"['Panel', 'Point']",Point
10.1109/TVCG.2015.2467732,Michelle A. Borkin;Zoya Bylinskii;Nam Wook Kim;Constance May Bainbridge;Chelsea S. Yeh;Daniel Borkin;Hanspeter Pfister;Aude Oliva,Beyond Memorability: Visualization Recognition and Recall,2015,http://dx.doi.org/10.1109/TVCG.2015.2467732,InfoVis,10.1109@TVCG.2015.2467732.json,2,1,"['Circle', 'Panel']",Circle
10.1109/TVCG.2015.2467754,P. Samuel Quinan;Miriah Meyer,Visually Comparing Weather Features in Forecasts,2015,http://dx.doi.org/10.1109/TVCG.2015.2467754,InfoVis,10.1109@TVCG.2015.2467754.json,2,1,"['Panel', 'Map']",Map
10.1109/TVCG.2016.2598496,Bilal Alsallakh;Liu Ren,PowerSet: A Comprehensive Visualization of Set Intersections,2016,http://dx.doi.org/10.1109/TVCG.2016.2598496,InfoVis,10.1109@TVCG.2016.2598496.json,2,1,"['Net.', 'Panel']",Tree and Network (Graph)
10.1109/TVCG.2016.2598518,Michail Schwab;Hendrik Strobelt;James Tompkin;Colin Fredericks;Connor Huff;Dana Higgins;Anton Strezhnev;Mayya Komisarchik;Gary King;Hanspeter Pfister,booc.io: An Education System with Hierarchical Concept Maps and Dynamic Non-linear Learning Plans,2016,http://dx.doi.org/10.1109/TVCG.2016.2598518,InfoVis,10.1109@TVCG.2016.2598518.json,2,1,"['Diag.', 'Panel']",Diagram
10.1109/TVCG.2018.2865151,Timothy Major;Rahul C. Basole,"Graphicle: Exploring Units, Networks, and Context in a Blended Visualization Approach",2018,http://dx.doi.org/10.1109/TVCG.2018.2865151,InfoVis,10.1109@TVCG.2018.2865151.json,2,1,"['Net.', 'Panel']",Tree and Network (Graph)
10.1109/TVCG.2019.2934285,K. Williams;A. Bigelow;K. Isaacs,Visualizing a Moving Target: A Design Study on Task Parallel Programs in the Presence of Evolving Data and Concerns,2019,http//ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8805434&isnumber=8911289,InfoVis,10.1109@TVCG.2019.2934285.json,2,1,"['Net.', 'Panel']",Tree and Network (Graph)
10.1109/TVCG.2019.2934402,A. Pandey et al.,CerebroVis: Designing an Abstract yet Spatially Contextualized Cerebral Artery Network Visualization,2019,http//ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8842614&isnumber=8911289,InfoVis,10.1109@TVCG.2019.2934402.json,2,1,"['Net.', 'Panel']",Tree and Network (Graph)
10.1109/TVCG.2019.2934431,E. Hoque;M. Agrawala,Searching the Visual Style and Structure of D3 Visualizations,2019,http//ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8809832&isnumber=8911289,InfoVis,10.1109@TVCG.2019.2934431.json,16,1,"['Panel', 'Point']",Point
10.1109/TVCG.2019.2934537,J. K. Li;K. Ma,P5: Portable Progressive Parallel Processing Pipelines for Interactive Data Analysis and Visualization,2019,http//ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8809730&isnumber=8911289,InfoVis,10.1109@TVCG.2019.2934537.json,4,1,"['Net.', 'Line']",Line
10.1109/TVCG.2019.2934540,A. Dasgupta;H. Wang;N. O'Brien;S. Burrows,Separating the Wheat from the Chaff: Comparative Visual Cues for Transparent Diagnostics of Competing Models,2019,http//ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8812989&isnumber=8911289,InfoVis,10.1109@TVCG.2019.2934540.json,4,1,"['Line', 'Panel']",Line
10.1109/PACIFICVIS.2016.7465264,Matthias Meyer;Fabian Beck 0001;Steffen Lohmann,Visual monitoring of process runs - An application study for stored procedures.,2016,https://doi.org/10.1109/PACIFICVIS.2016.7465264,PacificVis,10.1109_PACIFICVIS.2016.7465264.json,2,1,"['Distri.', 'Panel']",Distribution
10.1109/PACIFICVIS.2019.00040,Maksim Gomov;Tarik Crnovrsanin;Keshav Dasu;Kwan-Liu Ma,An Interactive System for Exploring Historical Fire Data.,2019,https://dblp.org/rec/conf/apvis/GomovCDM19,PacificVis,10.1109_PacificVis.2019.00040.json,2,2,"['Grid', 'Map']",Map
10.1109/PACIFICVIS.2019.00041,Fan Hong;Can Liu 0004;Xiaoru Yuan,DNN-VolVis - Interactive Volume Visualization Supported by Deep Neural Network.,2019,https://dblp.org/rec/conf/apvis/HongLY19,PacificVis,10.1109_PacificVis.2019.00041.json,2,1,"['Line', 'SciVis']",SciVis
10.1109/TVCG.2014.2346371,Daniel Haehn;Seymour Knowles-Barley;Mike Roberts;Johanna Beyer;Narayanan Kasthuri;Jeff W. Lichtman;Hanspeter Pfister,Design and Evaluation of Interactive Proofreading Tools for Connectomics,2014,http://dx.doi.org/10.1109/TVCG.2014.2346371,SciVis,10.1109@TVCG.2014.2346371.json,2,1,"['Panel', 'SciVis']",SciVis
10.1109/TVCG.2015.2467031,Amin Abbasloo;Vitalis Wiens;Max Hermann;Thomas Schultz,Visualizing Tensor Normal Distributions at Multiple Levels of Detail,2015,http://dx.doi.org/10.1109/TVCG.2015.2467031,SciVis,10.1109@TVCG.2015.2467031.json,5,1,"['Panel', 'SciVis']",SciVis
10.1109/TVCG.2015.2467952,Chun-Ming Chen;Soumya Dutta;Xiaotong Liu;Gregory Heinlein;Han-Wei Shen;Jen-Ping Chen,Visualization and Analysis of Rotating Stall for Transonic Jet Engine Simulation,2015,http://dx.doi.org/10.1109/TVCG.2015.2467952,SciVis,10.1109@TVCG.2015.2467952.json,2,1,"['Panel', 'SciVis']",SciVis
10.1109/TVCG.2015.2468093,Lihua Hao;Christopher G. Healey;Steffen A. Bass,Effective Visualization of Temporal Ensembles,2015,http://dx.doi.org/10.1109/TVCG.2015.2468093,SciVis,10.1109@TVCG.2015.2468093.json,2,2,"['Net.', 'Panel']",Tree and Network (Graph)
