Area,Bar,Circle,Diagram,Distribution,Tree and Network,Grid/Matrix,Line,Map,Point,Table,Text Based,SciVis,Panel
0.128205128,0.358974359,0.025641026,0.076923077,0.179487179,0.307692308,0.102564103,0.41025641,0.384615385,0.41025641,0.179487179,0.128205128,0.025641026,0.512820513
0.120689655,0.275862069,0.034482759,0.137931034,0.146551724,0.224137931,0.24137931,0.310344828,0.25862069,0.362068966,0.293103448,0.129310345,0.025862069,0.577586207
0.166666667,0.666666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.166666667,0,0,0.5
0.046875,0.25,0.015625,0.125,0.203125,0.296875,0.203125,0.234375,0.140625,0.15625,0.265625,0.125,0.03125,0.609375
0.145833333,0.354166667,0.020833333,0.270833333,0.1875,0.229166667,0.208333333,0.333333333,0.229166667,0.25,0.270833333,0.125,0,0.5
0.099173554,0.214876033,0.008264463,0.157024793,0.090909091,0.231404959,0.190082645,0.214876033,0.090909091,0.190082645,0.272727273,0.107438017,0.041322314,0.710743802
0.05,0.35,0.0125,0.1625,0.125,0.2875,0.1375,0.3,0.1625,0.2125,0.25,0.025,0.1375,0.675
0.134453782,0.302521008,0.008403361,0.12605042,0.134453782,0.218487395,0.201680672,0.151260504,0.268907563,0.327731092,0.235294118,0.058823529,0.092436975,0.579831933
0.208333333,0.416666667,0.013888889,0.125,0.152777778,0.152777778,0.180555556,0.444444444,0.125,0.236111111,0.263888889,0.097222222,0,0.583333333
0.168421053,0.442105263,0.021052632,0.105263158,0.126315789,0.242105263,0.178947368,0.410526316,0.178947368,0.242105263,0.357894737,0.094736842,0.031578947,0.547368421
0.07,0.34,0.01,0.17,0.13,0.33,0.2,0.28,0.19,0.34,0.16,0.17,0.03,0.56
0.128205128,0.384615385,0,0.205128205,0.153846154,0.333333333,0.051282051,0.179487179,0.179487179,0.230769231,0.435897436,0.153846154,0,0.564102564
0.032258065,0.096774194,0,0.064516129,0,0.161290323,0.35483871,0.35483871,0,0.096774194,0.096774194,0,0.193548387,0.806451613
0.081632653,0.273469388,0.012244898,0.159183673,0.097959184,0.351020408,0.220408163,0.281632653,0.171428571,0.212244898,0.228571429,0.089795918,0.102040816,0.187755102
